"Category","Order Date","Segment","Number of Records","Sales Target","Column6","Updated_Order_Date"
Office Supplies,"5/10/12",Home Office,1,"106.67646","","2012-10-05"
Technology,"5/10/12",Consumer,1,"46.22112","","2012-10-05"
Furniture,"5/11/12",Home Office,1,"197.72704","","2012-11-05"
Furniture,"5/12/12",Consumer,1,"22.62704","","2012-12-05"
Office Supplies,"5/12/12",Consumer,1,"213.29308","","2012-12-05"
Technology,"5/12/12",Consumer,1,"828.94336","","2012-12-05"
Office Supplies,"5/13/12",Home Office,1,"16","","2012-13-05"
Technology,"5/13/12",Home Office,1,"229.05552","","2012-13-05"
Furniture,"5/14/12",Corporate,1,"1,234.87","","2012-14-05"
Office Supplies,"5/14/12",Consumer,1,"1,162.64","","2012-14-05"
Office Supplies,"5/14/12",Home Office,1,"502.03296","","2012-14-05"
Office Supplies,"5/15/12",Corporate,1,"72.70432","","2012-15-05"
Technology,"5/16/12",Home Office,1,"266.20672","","2012-16-05"
Office Supplies,"5/17/12",Consumer,1,"88.842","","2012-17-05"
Office Supplies,"5/17/12",Corporate,1,"51.15744","","2012-17-05"
Office Supplies,"5/18/12",Corporate,1,"10.317","","2012-18-05"
Furniture,"5/20/12",Consumer,1,"154.9792","","2012-20-05"
Office Supplies,"5/20/12",Consumer,1,"5.57496","","2012-20-05"
Office Supplies,"5/21/12",Consumer,1,"20.768","","2012-21-05"
Office Supplies,"5/21/12",Corporate,1,"53.11092","","2012-21-05"
Office Supplies,"5/22/12",Consumer,1,"104.006","","2012-22-05"
Technology,"5/22/12",Consumer,1,"3,336.65","","2012-22-05"
Furniture,"5/23/12",Home Office,1,"69.3036","","2012-23-05"
Office Supplies,"5/23/12",Consumer,1,"149.44516","","2012-23-05"
Office Supplies,"5/23/12",Corporate,1,"230.9958","","2012-23-05"
Office Supplies,"5/23/12",Home Office,1,"756.945","","2012-23-05"
Furniture,"5/24/12",Consumer,1,"518.27986","","2012-24-05"
Office Supplies,"5/24/12",Consumer,1,"8.26848","","2012-24-05"
Furniture,"5/25/12",Home Office,1,"12.9624","","2012-25-05"
Office Supplies,"5/25/12",Consumer,1,"718.8688","","2012-25-05"
Office Supplies,"5/25/12",Corporate,1,"59.66224","","2012-25-05"
Office Supplies,"5/25/12",Home Office,1,"128.312","","2012-25-05"
Technology,"5/25/12",Corporate,1,"600.77136","","2012-25-05"
Furniture,"5/26/12",Consumer,1,"207.7704","","2012-26-05"
Office Supplies,"5/26/12",Home Office,1,"160.27488","","2012-26-05"
Technology,"5/26/12",Consumer,1,"379.563","","2012-26-05"
Technology,"5/26/12",Home Office,1,"166.26456","","2012-26-05"
Office Supplies,"5/28/12",Consumer,1,"659.95814","","2012-28-05"
Office Supplies,"5/28/12",Home Office,1,"6.0996","","2012-28-05"
Technology,"5/28/12",Consumer,1,"41.8509","","2012-28-05"
Furniture,"5/29/12",Corporate,1,"394.4886","","2012-29-05"
Office Supplies,"5/29/12",Consumer,1,"662.7456","","2012-29-05"
Office Supplies,"5/29/12",Corporate,1,"8.2008","","2012-29-05"
Office Supplies,"5/29/12",Home Office,1,"76.5504","","2012-29-05"
Office Supplies,"5/30/12",Consumer,1,"142.6848","","2012-30-05"
Technology,"5/30/12",Consumer,1,"387.261","","2012-30-05"
Technology,"5/30/12",Home Office,1,"165.6364","","2012-30-05"
Furniture,"5/31/12",Consumer,1,"4,213.18","","2012-31-05"
Furniture,"5/31/12",Corporate,1,"61.0368","","2012-31-05"
Furniture,"5/31/12",Home Office,1,"23.754","","2012-31-05"
Office Supplies,"5/31/12",Consumer,1,"300.24492","","2012-31-05"
Office Supplies,"5/31/12",Corporate,1,"688.2444","","2012-31-05"
Office Supplies,"5/31/12",Home Office,1,"7.182","","2012-31-05"
Office Supplies,"6/1/12",Consumer,1,"467.1972","","2012-01-06"
Office Supplies,"6/1/12",Corporate,1,"50.84608","","2012-01-06"
Office Supplies,"6/1/12",Home Office,1,"10.1136","","2012-01-06"
Technology,"6/1/12",Consumer,1,"294.0168","","2012-01-06"
Furniture,"6/4/12",Home Office,1,"33.8688","","2012-04-06"
Office Supplies,"6/4/12",Consumer,1,"16.1408","","2012-04-06"
Office Supplies,"6/4/12",Home Office,1,"28.3092","","2012-04-06"
Technology,"6/4/12",Consumer,1,"1,087.75","","2012-04-06"
Furniture,"6/5/12",Corporate,1,"1,294.24","","2012-05-06"
Office Supplies,"6/5/12",Corporate,1,"9.3984","","2012-05-06"
Office Supplies,"6/7/12",Corporate,1,"6.6928","","2012-07-06"
Office Supplies,"6/7/12",Home Office,1,"49.6356","","2012-07-06"
Furniture,"6/8/12",Corporate,1,"181.8684","","2012-08-06"
Office Supplies,"6/8/12",Consumer,1,"123.09008","","2012-08-06"
Office Supplies,"6/8/12",Corporate,1,"840.84","","2012-08-06"
Technology,"6/8/12",Consumer,1,"2.06712","","2012-08-06"
Furniture,"6/9/12",Consumer,1,"326.9312","","2012-09-06"
Office Supplies,"6/9/12",Consumer,1,"114.5232","","2012-09-06"
Office Supplies,"6/9/12",Home Office,1,"99.528","","2012-09-06"
Technology,"6/9/12",Consumer,1,"181.0296","","2012-09-06"
Furniture,"6/11/12",Consumer,1,"31.7844","","2012-11-06"
Furniture,"6/11/12",Corporate,1,"1,160.87","","2012-11-06"
Office Supplies,"6/11/12",Consumer,1,"137.456","","2012-11-06"
Office Supplies,"6/11/12",Corporate,1,"1,708.70","","2012-11-06"
Technology,"6/11/12",Consumer,1,"55.311","","2012-11-06"
Technology,"6/11/12",Corporate,1,"227.12144","","2012-11-06"
Furniture,"6/12/12",Consumer,1,"43.296","","2012-12-06"
Office Supplies,"6/12/12",Consumer,1,"46.58512","","2012-12-06"
Office Supplies,"6/12/12",Home Office,1,"26.5248","","2012-12-06"
Technology,"6/12/12",Consumer,1,"48.70608","","2012-12-06"
Office Supplies,"6/13/12",Consumer,1,"39.18768","","2012-13-06"
Office Supplies,"6/13/12",Corporate,1,"72.864","","2012-13-06"
Office Supplies,"6/13/12",Home Office,1,"38.61732","","2012-13-06"
Technology,"6/13/12",Corporate,1,"809.973","","2012-13-06"
Technology,"6/13/12",Home Office,1,"62.5416","","2012-13-06"
Furniture,"6/14/12",Home Office,1,"50.05056","","2012-14-06"
Furniture,"6/15/12",Consumer,1,"425.208","","2012-15-06"
Office Supplies,"6/15/12",Consumer,1,"79.06496","","2012-15-06"
Technology,"6/15/12",Consumer,1,"11.55528","","2012-15-06"
Technology,"6/15/12",Corporate,1,"221.06448","","2012-15-06"
Furniture,"6/16/12",Consumer,1,"201.31944","","2012-16-06"
Office Supplies,"6/16/12",Consumer,1,"3,361.56","","2012-16-06"
Technology,"6/16/12",Consumer,1,"124.6014","","2012-16-06"
Furniture,"6/18/12",Consumer,1,"60.2316","","2012-18-06"
Furniture,"6/18/12",Corporate,1,"655.99872","","2012-18-06"
Furniture,"6/18/12",Home Office,1,"67.824","","2012-18-06"
Office Supplies,"6/18/12",Consumer,1,"615.2112","","2012-18-06"
Office Supplies,"6/18/12",Corporate,1,"38.47215","","2012-18-06"
Office Supplies,"6/18/12",Home Office,1,"23.33604","","2012-18-06"
Technology,"6/18/12",Consumer,1,"505.4076","","2012-18-06"
Furniture,"6/19/12",Consumer,1,"10.8016","","2012-19-06"
Office Supplies,"6/19/12",Consumer,1,"210.5553","","2012-19-06"
Office Supplies,"6/19/12",Home Office,1,"218.96056","","2012-19-06"
Furniture,"6/20/12",Corporate,1,"226.7232","","2012-20-06"
Technology,"6/20/12",Consumer,1,"118.38736","","2012-20-06"
Technology,"6/20/12",Corporate,1,"128.49552","","2012-20-06"
Technology,"6/20/12",Home Office,1,"281.58592","","2012-20-06"
Technology,"6/21/12",Consumer,1,"92.85936","","2012-21-06"
Furniture,"6/22/12",Home Office,1,"764.568","","2012-22-06"
Office Supplies,"6/22/12",Consumer,1,"1,173.63","","2012-22-06"
Furniture,"6/23/12",Corporate,1,"27.42","","2012-23-06"
Office Supplies,"6/23/12",Consumer,1,"4.6698","","2012-23-06"
Office Supplies,"6/23/12",Corporate,1,"147.7222","","2012-23-06"
Technology,"6/23/12",Consumer,1,"568.75928","","2012-23-06"
Technology,"6/23/12",Corporate,1,"64.5","","2012-23-06"
Furniture,"6/25/12",Consumer,1,"241.00124","","2012-25-06"
Office Supplies,"6/25/12",Consumer,1,"453.46142","","2012-25-06"
Office Supplies,"6/25/12",Home Office,1,"114.828","","2012-25-06"
Furniture,"6/26/12",Consumer,1,"366.234","","2012-26-06"
Office Supplies,"6/26/12",Consumer,1,"182.178","","2012-26-06"
Office Supplies,"6/26/12",Home Office,1,"45.63936","","2012-26-06"
Technology,"6/26/12",Consumer,1,"933.0048","","2012-26-06"
Technology,"6/26/12",Corporate,1,"36.453","","2012-26-06"
Furniture,"6/28/12",Corporate,1,"950.042","","2012-28-06"
Office Supplies,"6/28/12",Corporate,1,"19.73952","","2012-28-06"
Office Supplies,"6/28/12",Home Office,1,"244.6914","","2012-28-06"
Furniture,"6/29/12",Consumer,1,"124.1874","","2012-29-06"
Office Supplies,"6/29/12",Consumer,1,"25.9584","","2012-29-06"
Technology,"6/29/12",Home Office,1,"242.982","","2012-29-06"
Furniture,"7/2/12",Consumer,1,"869.5918","","2012-02-07"
Furniture,"7/2/12",Corporate,1,"142.2576","","2012-02-07"
Office Supplies,"7/2/12",Consumer,1,"604.338","","2012-02-07"
Office Supplies,"7/2/12",Corporate,1,"12.8982","","2012-02-07"
Office Supplies,"7/2/12",Home Office,1,"17.1072","","2012-02-07"
Technology,"7/2/12",Corporate,1,"77.2096","","2012-02-07"
Furniture,"7/3/12",Consumer,1,"63.1722","","2012-03-07"
Furniture,"7/3/12",Corporate,1,"428.7844","","2012-03-07"
Office Supplies,"7/3/12",Consumer,1,"321.4737","","2012-03-07"
Office Supplies,"7/3/12",Corporate,1,"6.1824","","2012-03-07"
Office Supplies,"7/4/12",Home Office,1,"39.09456","","2012-04-07"
Technology,"7/4/12",Consumer,1,"1,110.96","","2012-04-07"
Furniture,"7/5/12",Corporate,1,"9.3632","","2012-05-07"
Office Supplies,"7/5/12",Consumer,1,"33.1296","","2012-05-07"
Office Supplies,"7/5/12",Corporate,1,"20.9154","","2012-05-07"
Office Supplies,"7/5/12",Home Office,1,"18.43","","2012-05-07"
Technology,"7/5/12",Consumer,1,"30.276","","2012-05-07"
Furniture,"7/6/12",Consumer,1,"175.46256","","2012-06-07"
Furniture,"7/6/12",Corporate,1,"152.802","","2012-06-07"
Furniture,"7/6/12",Home Office,1,"329.1364","","2012-06-07"
Office Supplies,"7/6/12",Corporate,1,"533.1099","","2012-06-07"
Technology,"7/6/12",Corporate,1,"113.7045","","2012-06-07"
Office Supplies,"7/8/12",Consumer,1,"19.008","","2012-08-07"
Furniture,"7/9/12",Consumer,1,"187.4188","","2012-09-07"
Office Supplies,"7/9/12",Consumer,1,"418.2425","","2012-09-07"
Office Supplies,"7/9/12",Corporate,1,"183.49656","","2012-09-07"
Technology,"7/9/12",Consumer,1,"771.6996","","2012-09-07"
Office Supplies,"7/10/12",Consumer,1,"38.52454","","2012-10-07"
Furniture,"7/11/12",Consumer,1,"643.49936","","2012-11-07"
Furniture,"7/11/12",Corporate,1,"215.82288","","2012-11-07"
Office Supplies,"7/11/12",Consumer,1,"139.51856","","2012-11-07"
Office Supplies,"7/11/12",Corporate,1,"243.166","","2012-11-07"
Technology,"7/11/12",Corporate,1,"687.36","","2012-11-07"
Furniture,"7/12/12",Consumer,1,"422.67636","","2012-12-07"
Office Supplies,"7/12/12",Consumer,1,"8.0444","","2012-12-07"
Technology,"7/12/12",Consumer,1,"1,503.65","","2012-12-07"
Furniture,"7/13/12",Consumer,1,"2,027.59","","2012-13-07"
Office Supplies,"7/13/12",Consumer,1,"20.89728","","2012-13-07"
Office Supplies,"7/13/12",Corporate,1,"33.4368","","2012-13-07"
Office Supplies,"7/13/12",Home Office,1,"41.15232","","2012-13-07"
Furniture,"7/14/12",Consumer,1,"552.59348","","2012-14-07"
Office Supplies,"7/14/12",Consumer,1,"285.40736","","2012-14-07"
Furniture,"7/16/12",Corporate,1,"2,089.83","","2012-16-07"
Furniture,"7/16/12",Home Office,1,"150.98","","2012-16-07"
Office Supplies,"7/16/12",Corporate,1,"88.968","","2012-16-07"
Office Supplies,"7/16/12",Home Office,1,"147.2823","","2012-16-07"
Technology,"7/16/12",Corporate,1,"509.915","","2012-16-07"
Furniture,"7/17/12",Consumer,1,"199.37532","","2012-17-07"
Furniture,"7/17/12",Corporate,1,"231.92","","2012-17-07"
Office Supplies,"7/17/12",Corporate,1,"21.93776","","2012-17-07"
Furniture,"7/18/12",Consumer,1,"6.9372","","2012-18-07"
Office Supplies,"7/18/12",Consumer,1,"3.59424","","2012-18-07"
Office Supplies,"7/18/12",Corporate,1,"6.048","","2012-18-07"
Technology,"7/18/12",Consumer,1,"570.6765","","2012-18-07"
Office Supplies,"7/19/12",Consumer,1,"2.12625","","2012-19-07"
Furniture,"7/20/12",Consumer,1,"1,129.59","","2012-20-07"
Office Supplies,"7/20/12",Consumer,1,"389.5095","","2012-20-07"
Technology,"7/20/12",Consumer,1,"1,073.41","","2012-20-07"
Furniture,"7/23/12",Home Office,1,"114.6498","","2012-23-07"
Office Supplies,"7/23/12",Consumer,1,"11.24784","","2012-23-07"
Office Supplies,"7/23/12",Home Office,1,"63.4248","","2012-23-07"
Furniture,"7/24/12",Home Office,1,"18.846","","2012-24-07"
Office Supplies,"7/24/12",Home Office,1,"231.9045","","2012-24-07"
Technology,"7/24/12",Home Office,1,"305.0474","","2012-24-07"
Furniture,"7/25/12",Consumer,1,"1,355.12","","2012-25-07"
Furniture,"7/25/12",Corporate,1,"369.3374","","2012-25-07"
Office Supplies,"7/25/12",Consumer,1,"19.4706","","2012-25-07"
Office Supplies,"7/25/12",Corporate,1,"106.3368","","2012-25-07"
Office Supplies,"7/25/12",Home Office,1,"26.4348","","2012-25-07"
Technology,"7/25/12",Consumer,1,"648.9184","","2012-25-07"
Furniture,"7/26/12",Consumer,1,"353.8485","","2012-26-07"
Furniture,"7/26/12",Corporate,1,"290.32368","","2012-26-07"
Office Supplies,"7/26/12",Consumer,1,"165.75204","","2012-26-07"
Office Supplies,"7/26/12",Corporate,1,"122.2764","","2012-26-07"
Technology,"7/27/12",Consumer,1,"29.97","","2012-27-07"
Furniture,"7/30/12",Consumer,1,"5.4384","","2012-30-07"
Furniture,"7/30/12",Home Office,1,"163.674","","2012-30-07"
Office Supplies,"7/30/12",Consumer,1,"10.8108","","2012-30-07"
Office Supplies,"7/30/12",Corporate,1,"53.14112","","2012-30-07"
Technology,"7/30/12",Consumer,1,"178.4405","","2012-30-07"
Furniture,"7/31/12",Consumer,1,"1,090.78","","2012-31-07"
Office Supplies,"7/31/12",Consumer,1,"18.2736","","2012-31-07"
Office Supplies,"7/31/12",Corporate,1,"57.3231","","2012-31-07"
Technology,"7/31/12",Consumer,1,"2,171.07","","2012-31-07"
Technology,"7/31/12",Corporate,1,"222.921","","2012-31-07"
Furniture,"8/1/12",Home Office,1,"1,035.13","","2012-01-08"
Office Supplies,"8/1/12",Home Office,1,"6.72","","2012-01-08"
Furniture,"8/2/12",Consumer,1,"283.05","","2012-02-08"
Furniture,"8/2/12",Home Office,1,"95.4428","","2012-02-08"
Office Supplies,"8/2/12",Consumer,1,"5.85856","","2012-02-08"
Office Supplies,"8/2/12",Home Office,1,"8.484","","2012-02-08"
Technology,"8/2/12",Consumer,1,"547.232","","2012-02-08"
Technology,"8/2/12",Home Office,1,"322.2534","","2012-02-08"
Furniture,"8/5/12",Corporate,1,"12.546","","2012-05-08"
Office Supplies,"8/5/12",Corporate,1,"58.4689","","2012-05-08"
Furniture,"8/6/12",Corporate,1,"372.891192","","2012-06-08"
Office Supplies,"8/6/12",Corporate,1,"131.9535","","2012-06-08"
Furniture,"8/7/12",Consumer,1,"227.8458","","2012-07-08"
Office Supplies,"8/7/12",Consumer,1,"121.68","","2012-07-08"
Office Supplies,"8/7/12",Corporate,1,"92.17128","","2012-07-08"
Office Supplies,"8/7/12",Home Office,1,"20.30112","","2012-07-08"
Technology,"8/7/12",Corporate,1,"455.3724","","2012-07-08"
Furniture,"8/8/12",Consumer,1,"133.20128","","2012-08-08"
Office Supplies,"8/8/12",Consumer,1,"590.71488","","2012-08-08"
Technology,"8/8/12",Consumer,1,"84.7894","","2012-08-08"
Furniture,"8/9/12",Consumer,1,"374.96516","","2012-09-08"
Furniture,"8/9/12",Corporate,1,"626.1453","","2012-09-08"
Furniture,"8/9/12",Home Office,1,"632.408","","2012-09-08"
Office Supplies,"8/9/12",Consumer,1,"1,215.94","","2012-09-08"
Office Supplies,"8/9/12",Corporate,1,"186.74064","","2012-09-08"
Technology,"8/9/12",Consumer,1,"1,336.09","","2012-09-08"
Office Supplies,"8/10/12",Consumer,1,"186.32868","","2012-10-08"
Office Supplies,"8/10/12",Home Office,1,"79.4364","","2012-10-08"
Technology,"8/10/12",Consumer,1,"497.34832","","2012-10-08"
Furniture,"8/11/12",Consumer,1,"45.22896","","2012-11-08"
Office Supplies,"8/11/12",Home Office,1,"11.0032","","2012-11-08"
Technology,"8/11/12",Home Office,1,"149.04","","2012-11-08"
Furniture,"8/13/12",Consumer,1,"28.7196","","2012-13-08"
Office Supplies,"8/13/12",Consumer,1,"395.8704","","2012-13-08"
Office Supplies,"8/13/12",Corporate,1,"115.48","","2012-13-08"
Furniture,"8/15/12",Consumer,1,"114.653","","2012-15-08"
Office Supplies,"8/15/12",Consumer,1,"67.4496","","2012-15-08"
Office Supplies,"8/15/12",Corporate,1,"306.945","","2012-15-08"
Furniture,"8/16/12",Consumer,1,"289.4112","","2012-16-08"
Furniture,"8/16/12",Corporate,1,"251.80848","","2012-16-08"
Office Supplies,"8/16/12",Consumer,1,"321.24928","","2012-16-08"
Office Supplies,"8/16/12",Corporate,1,"27.126","","2012-16-08"
Technology,"8/16/12",Consumer,1,"1,955.16","","2012-16-08"
Technology,"8/16/12",Corporate,1,"512.40024","","2012-16-08"
Office Supplies,"8/17/12",Consumer,1,"46.56","","2012-17-08"
Office Supplies,"8/17/12",Corporate,1,"47.502","","2012-17-08"
Technology,"8/17/12",Consumer,1,"285.7088","","2012-17-08"
Furniture,"8/21/12",Corporate,1,"1,319.82","","2012-21-08"
Furniture,"8/21/12",Home Office,1,"522.24768","","2012-21-08"
Office Supplies,"8/21/12",Corporate,1,"130.90832","","2012-21-08"
Office Supplies,"8/21/12",Home Office,1,"940.01024","","2012-21-08"
Technology,"8/21/12",Home Office,1,"22.16256","","2012-21-08"
Office Supplies,"8/22/12",Corporate,1,"44.59968","","2012-22-08"
Office Supplies,"8/22/12",Home Office,1,"16.1896","","2012-22-08"
Office Supplies,"8/23/12",Consumer,1,"1,016.89","","2012-23-08"
Technology,"8/23/12",Consumer,1,"254.4291","","2012-23-08"
Furniture,"8/24/12",Consumer,1,"905.68415","","2012-24-08"
Furniture,"8/24/12",Corporate,1,"287.20764","","2012-24-08"
Office Supplies,"8/24/12",Consumer,1,"1,892.95","","2012-24-08"
Technology,"8/24/12",Consumer,1,"3,510.67","","2012-24-08"
Technology,"8/24/12",Corporate,1,"24.44","","2012-24-08"
Furniture,"8/25/12",Consumer,1,"28.26384","","2012-25-08"
Furniture,"8/25/12",Home Office,1,"38.33696","","2012-25-08"
Office Supplies,"8/25/12",Consumer,1,"4.06386","","2012-25-08"
Office Supplies,"8/25/12",Home Office,1,"113.3772","","2012-25-08"
Office Supplies,"8/27/12",Consumer,1,"577.7317","","2012-27-08"
Office Supplies,"8/27/12",Home Office,1,"5.41024","","2012-27-08"
Furniture,"8/28/12",Consumer,1,"302.47122","","2012-28-08"
Furniture,"8/28/12",Corporate,1,"87.95885","","2012-28-08"
Office Supplies,"8/28/12",Consumer,1,"1,629.28","","2012-28-08"
Office Supplies,"8/28/12",Corporate,1,"484.4708","","2012-28-08"
Technology,"8/28/12",Consumer,1,"38.8584","","2012-28-08"
Technology,"8/28/12",Corporate,1,"3,938.92","","2012-28-08"
Technology,"8/29/12",Home Office,1,"266.22","","2012-29-08"
Furniture,"8/31/12",Corporate,1,"1,537.30","","2012-31-08"
Office Supplies,"8/31/12",Consumer,1,"61.8192","","2012-31-08"
Office Supplies,"8/31/12",Corporate,1,"126.2608","","2012-31-08"
Office Supplies,"8/31/12",Home Office,1,"23.056","","2012-31-08"
Technology,"8/31/12",Corporate,1,"293.07516","","2012-31-08"
Technology,"8/31/12",Home Office,1,"555.96","","2012-31-08"
Furniture,"9/1/12",Home Office,1,"168.441","","2012-01-09"
Office Supplies,"9/1/12",Consumer,1,"17.5904","","2012-01-09"
Office Supplies,"9/1/12",Home Office,1,"1,323.70","","2012-01-09"
Technology,"9/1/12",Consumer,1,"835.18608","","2012-01-09"
Furniture,"9/3/12",Corporate,1,"209.57376","","2012-03-09"
Furniture,"9/3/12",Home Office,1,"130.86368","","2012-03-09"
Office Supplies,"9/3/12",Consumer,1,"793.09984","","2012-03-09"
Office Supplies,"9/3/12",Corporate,1,"539.4114","","2012-03-09"
Office Supplies,"9/3/12",Home Office,1,"5.66752","","2012-03-09"
Technology,"9/3/12",Corporate,1,"247.84","","2012-03-09"
Office Supplies,"9/4/12",Consumer,1,"305.5308","","2012-04-09"
Office Supplies,"9/4/12",Corporate,1,"18.2889","","2012-04-09"
Technology,"9/4/12",Consumer,1,"607.551","","2012-04-09"
Technology,"9/4/12",Corporate,1,"116.90712","","2012-04-09"
Furniture,"9/5/12",Consumer,1,"746.80286","","2012-05-09"
Furniture,"9/5/12",Corporate,1,"6.468","","2012-05-09"
Furniture,"9/5/12",Home Office,1,"65.2416","","2012-05-09"
Office Supplies,"9/5/12",Consumer,1,"27.3144","","2012-05-09"
Office Supplies,"9/5/12",Corporate,1,"32.4192","","2012-05-09"
Office Supplies,"9/5/12",Home Office,1,"94.353","","2012-05-09"
Furniture,"9/6/12",Consumer,1,"80.8212","","2012-06-09"
Furniture,"9/6/12",Home Office,1,"458.94816","","2012-06-09"
Office Supplies,"9/6/12",Corporate,1,"57.8925","","2012-06-09"
Office Supplies,"9/6/12",Home Office,1,"9.54","","2012-06-09"
Technology,"9/6/12",Corporate,1,"395.829","","2012-06-09"
Furniture,"9/7/12",Consumer,1,"74.1807","","2012-07-09"
Furniture,"9/7/12",Corporate,1,"500.42304","","2012-07-09"
Office Supplies,"9/7/12",Consumer,1,"651.5955","","2012-07-09"
Office Supplies,"9/7/12",Corporate,1,"243.55254","","2012-07-09"
Technology,"9/7/12",Corporate,1,"873.14436","","2012-07-09"
Technology,"9/7/12",Home Office,1,"554.3307","","2012-07-09"
Furniture,"9/8/12",Corporate,1,"18.7968","","2012-08-09"
Office Supplies,"9/8/12",Consumer,1,"64.866","","2012-08-09"
Furniture,"9/10/12",Corporate,1,"583.6734","","2012-10-09"
Office Supplies,"9/10/12",Consumer,1,"370.9854","","2012-10-09"
Office Supplies,"9/10/12",Corporate,1,"296.4786","","2012-10-09"
Furniture,"9/11/12",Corporate,1,"230.6136","","2012-11-09"
Furniture,"9/11/12",Home Office,1,"9.7228","","2012-11-09"
Office Supplies,"9/11/12",Consumer,1,"208.989","","2012-11-09"
Office Supplies,"9/11/12",Corporate,1,"1,217.90","","2012-11-09"
Office Supplies,"9/11/12",Home Office,1,"359.3244","","2012-11-09"
Technology,"9/11/12",Corporate,1,"17.7911","","2012-11-09"
Office Supplies,"9/12/12",Consumer,1,"214.0944","","2012-12-09"
Technology,"9/12/12",Consumer,1,"451.7676","","2012-12-09"
Furniture,"9/13/12",Consumer,1,"1,834.36","","2012-13-09"
Furniture,"9/13/12",Corporate,1,"1,134.67","","2012-13-09"
Office Supplies,"9/13/12",Consumer,1,"81.13446","","2012-13-09"
Office Supplies,"9/13/12",Corporate,1,"213.60612","","2012-13-09"
Technology,"9/13/12",Consumer,1,"191.9616","","2012-13-09"
Furniture,"9/14/12",Consumer,1,"794.0925","","2012-14-09"
Furniture,"9/14/12",Corporate,1,"183.74688","","2012-14-09"
Office Supplies,"9/14/12",Consumer,1,"1,260.91","","2012-14-09"
Office Supplies,"9/14/12",Home Office,1,"23.051","","2012-14-09"
Technology,"9/14/12",Consumer,1,"897.58368","","2012-14-09"
Furniture,"9/15/12",Consumer,1,"1,617.17","","2012-15-09"
Furniture,"9/15/12",Corporate,1,"119.24464","","2012-15-09"
Office Supplies,"9/15/12",Consumer,1,"200.1174","","2012-15-09"
Office Supplies,"9/15/12",Corporate,1,"295.16864","","2012-15-09"
Technology,"9/15/12",Consumer,1,"53.3733","","2012-15-09"
Office Supplies,"9/16/12",Consumer,1,"29.8752","","2012-16-09"
Furniture,"9/17/12",Consumer,1,"9,254.42","","2012-17-09"
Furniture,"9/17/12",Corporate,1,"23.91024","","2012-17-09"
Furniture,"9/17/12",Home Office,1,"371.7576","","2012-17-09"
Office Supplies,"9/17/12",Consumer,1,"429.974","","2012-17-09"
Office Supplies,"9/17/12",Corporate,1,"30.6714","","2012-17-09"
Office Supplies,"9/17/12",Home Office,1,"27.864","","2012-17-09"
Technology,"9/17/12",Consumer,1,"994.09286","","2012-17-09"
Furniture,"9/18/12",Corporate,1,"22.448","","2012-18-09"
Office Supplies,"9/18/12",Consumer,1,"549.7182","","2012-18-09"
Office Supplies,"9/18/12",Corporate,1,"718.4064","","2012-18-09"
Office Supplies,"9/18/12",Home Office,1,"16.686","","2012-18-09"
Technology,"9/18/12",Corporate,1,"2,551.35","","2012-18-09"
Furniture,"9/19/12",Home Office,1,"117.888","","2012-19-09"
Office Supplies,"9/19/12",Corporate,1,"21.1232","","2012-19-09"
Office Supplies,"9/19/12",Home Office,1,"7.308","","2012-19-09"
Technology,"9/19/12",Consumer,1,"274.2628","","2012-19-09"
Technology,"9/19/12",Corporate,1,"67.0236","","2012-19-09"
Office Supplies,"9/20/12",Consumer,1,"1,610.19","","2012-20-09"
Office Supplies,"9/20/12",Corporate,1,"87.56496","","2012-20-09"
Furniture,"9/21/12",Consumer,1,"1,622.44","","2012-21-09"
Furniture,"9/21/12",Corporate,1,"185.30064","","2012-21-09"
Furniture,"9/21/12",Home Office,1,"1,143.69","","2012-21-09"
Office Supplies,"9/21/12",Consumer,1,"1,328.08","","2012-21-09"
Office Supplies,"9/21/12",Corporate,1,"24.4306","","2012-21-09"
Office Supplies,"9/21/12",Home Office,1,"7.9","","2012-21-09"
Technology,"9/21/12",Consumer,1,"810.6112","","2012-21-09"
Technology,"9/21/12",Corporate,1,"1,196.32","","2012-21-09"
Technology,"9/21/12",Home Office,1,"507.314","","2012-21-09"
Furniture,"9/22/12",Consumer,1,"223.014","","2012-22-09"
Furniture,"9/22/12",Home Office,1,"52.778","","2012-22-09"
Office Supplies,"9/22/12",Consumer,1,"57.268","","2012-22-09"
Office Supplies,"9/22/12",Corporate,1,"67.584","","2012-22-09"
Office Supplies,"9/22/12",Home Office,1,"748.15352","","2012-22-09"
Technology,"9/22/12",Consumer,1,"611.79624","","2012-22-09"
Furniture,"9/24/12",Consumer,1,"450.225","","2012-24-09"
Furniture,"9/24/12",Corporate,1,"12.9717","","2012-24-09"
Furniture,"9/24/12",Home Office,1,"1,225.05","","2012-24-09"
Office Supplies,"9/24/12",Consumer,1,"213.02752","","2012-24-09"
Office Supplies,"9/24/12",Corporate,1,"1,060.12","","2012-24-09"
Office Supplies,"9/24/12",Home Office,1,"16.764","","2012-24-09"
Technology,"9/24/12",Consumer,1,"50.7384","","2012-24-09"
Technology,"9/24/12",Home Office,1,"715.0878","","2012-24-09"
Furniture,"9/25/12",Consumer,1,"1,181.63","","2012-25-09"
Furniture,"9/25/12",Corporate,1,"291.7792","","2012-25-09"
Office Supplies,"9/25/12",Consumer,1,"258.8342","","2012-25-09"
Office Supplies,"9/25/12",Corporate,1,"33.04006","","2012-25-09"
