Category,Order Date,Segment,Number of Records,Sales Target,
Technology,3/5/12,Corporate,1,433.5877,
Furniture,3/6/12,Consumer,1,387.3814,
Technology,3/6/12,Consumer,1,985.58592,
Office Supplies,3/7/12,Home Office,1,104.706,
Technology,3/7/12,Home Office,1,721.9764,
Furniture,3/8/12,Consumer,1,"1,851.77",
Office Supplies,3/8/12,Consumer,1,20.0158,
Office Supplies,3/8/12,Corporate,1,21.7056,
Technology,3/8/12,Consumer,1,808.4475,
Office Supplies,3/9/12,Consumer,1,4.05504,
Technology,3/9/12,Corporate,1,407.124,
Office Supplies,3/10/12,Consumer,1,1.03416,
Office Supplies,3/10/12,Corporate,1,89.82,
Furniture,3/12/12,Corporate,1,38.77952,
Office Supplies,3/12/12,Consumer,1,4.788,
Office Supplies,3/12/12,Corporate,1,9.38304,
Furniture,3/13/12,Consumer,1,143.3796,
Furniture,3/13/12,Home Office,1,"1,255.32",
Office Supplies,3/14/12,Consumer,1,672.505,
Technology,3/15/12,Corporate,1,14.42736,
Furniture,3/16/12,Consumer,1,173.6796,
Furniture,3/16/12,Corporate,1,37.9544,
Office Supplies,3/16/12,Consumer,1,"7,464.64",
Office Supplies,3/16/12,Home Office,1,18.396,
Technology,3/16/12,Corporate,1,93.631,
Office Supplies,3/17/12,Corporate,1,34.4964,
Technology,3/17/12,Corporate,1,13.3678,
Furniture,3/19/12,Home Office,1,356.623008,
Office Supplies,3/19/12,Consumer,1,144.1924,
Office Supplies,3/19/12,Corporate,1,"1,381.14",
Office Supplies,3/19/12,Home Office,1,66.89568,
Technology,3/19/12,Corporate,1,"3,181.43",
Technology,3/19/12,Home Office,1,408.2184,
Office Supplies,3/20/12,Consumer,1,48.146,
Office Supplies,3/20/12,Corporate,1,"1,141.83",
Technology,3/20/12,Corporate,1,211.9788,
Office Supplies,3/21/12,Consumer,1,"1,270.38",
Furniture,3/22/12,Corporate,1,80.0052,
Office Supplies,3/22/12,Consumer,1,320.55592,
Office Supplies,3/22/12,Corporate,1,132.5848,
Technology,3/22/12,Consumer,1,525.7288,
Technology,3/22/12,Corporate,1,"1,517.74",
Furniture,3/23/12,Consumer,1,113.1606,
Office Supplies,3/23/12,Consumer,1,55.3164,
Office Supplies,3/23/12,Corporate,1,219.2976,
Technology,3/23/12,Corporate,1,254.3682,
Furniture,3/24/12,Corporate,1,40.334,
Furniture,3/24/12,Home Office,1,377.0109,
Office Supplies,3/24/12,Corporate,1,7.6912,
Furniture,3/26/12,Corporate,1,"3,631.24",
Office Supplies,3/26/12,Consumer,1,41.63328,
Office Supplies,3/26/12,Corporate,1,"1,266.71",
Technology,3/26/12,Consumer,1,18.4536,
Office Supplies,3/27/12,Consumer,1,71.145,
Office Supplies,3/28/12,Consumer,1,77.87504,
Technology,3/28/12,Consumer,1,177.8768,
Furniture,3/29/12,Consumer,1,17.3304,
Furniture,3/29/12,Home Office,1,"1,120.24",
Office Supplies,3/29/12,Consumer,1,271.1415,
Technology,3/29/12,Consumer,1,46.86,
Furniture,3/30/12,Home Office,1,374.07888,
Office Supplies,3/30/12,Corporate,1,24.696,
Technology,3/30/12,Corporate,1,182.7696,
Furniture,3/31/12,Corporate,1,22.6038,
Office Supplies,3/31/12,Corporate,1,93.4572,
Technology,3/31/12,Corporate,1,75.1624,
Office Supplies,4/2/12,Consumer,1,33.8016,
Office Supplies,4/2/12,Corporate,1,7.87416,
Technology,4/2/12,Consumer,1,229.50608,
Furniture,4/4/12,Home Office,1,99.728,
Office Supplies,4/4/12,Consumer,1,563.2746,
Office Supplies,4/4/12,Home Office,1,109.77344,
Technology,4/4/12,Consumer,1,574.2742,
Furniture,4/5/12,Corporate,1,918.99072,
Furniture,4/5/12,Home Office,1,961.6002,
Office Supplies,4/5/12,Consumer,1,48.22144,
Office Supplies,4/5/12,Corporate,1,171.99546,
Office Supplies,4/5/12,Home Office,1,571.4958,
Technology,4/5/12,Consumer,1,237.5406,
Technology,4/5/12,Home Office,1,58.54314,
Office Supplies,4/6/12,Consumer,1,117.95148,
Technology,4/6/12,Consumer,1,23.70384,
Office Supplies,4/7/12,Consumer,1,496.39556,
Office Supplies,4/7/12,Home Office,1,10.09296,
Technology,4/7/12,Consumer,1,406.98912,
Furniture,4/9/12,Consumer,1,362.51376,
Office Supplies,4/9/12,Consumer,1,337.6296,
Office Supplies,4/10/12,Corporate,1,14.1152,
Office Supplies,4/10/12,Home Office,1,167.6797,
Furniture,4/11/12,Consumer,1,104.82368,
Office Supplies,4/11/12,Consumer,1,486.9216,
Technology,4/11/12,Consumer,1,754.56898,
Office Supplies,4/12/12,Home Office,1,41.1474,
Furniture,4/13/12,Consumer,1,"1,507.69",
Furniture,4/13/12,Corporate,1,40.6944,
Office Supplies,4/13/12,Consumer,1,44.74886,
Office Supplies,4/13/12,Corporate,1,79.632,
Office Supplies,4/13/12,Home Office,1,88.4976,
Technology,4/13/12,Consumer,1,809.47328,
Technology,4/13/12,Corporate,1,248.23296,
Office Supplies,4/14/12,Consumer,1,34.85592,
Furniture,4/16/12,Consumer,1,"1,548.11",
Furniture,4/16/12,Corporate,1,108.5994,
Office Supplies,4/16/12,Consumer,1,9.14,
Office Supplies,4/16/12,Corporate,1,130.33804,
Technology,4/16/12,Consumer,1,"2,155.83",
Technology,4/16/12,Corporate,1,104.52816,
Office Supplies,4/17/12,Consumer,1,"1,507.41",
Technology,4/17/12,Consumer,1,"1,122.44",
Furniture,4/18/12,Consumer,1,94.227,
Furniture,4/18/12,Corporate,1,60.65402,
Office Supplies,4/18/12,Consumer,1,223.1853,
Office Supplies,4/18/12,Corporate,1,96.31452,
Office Supplies,4/18/12,Home Office,1,857.7605,
Technology,4/18/12,Consumer,1,99.045,
Technology,4/18/12,Corporate,1,334.2192,
Office Supplies,4/19/12,Consumer,1,290.3648,
Furniture,4/20/12,Corporate,1,577.5186,
Office Supplies,4/20/12,Consumer,1,325.27344,
Office Supplies,4/20/12,Corporate,1,12.312,
Technology,4/20/12,Corporate,1,311.0076,
Furniture,4/21/12,Consumer,1,345.5824,
Office Supplies,4/21/12,Consumer,1,19.17,
Technology,4/21/12,Consumer,1,404.157,
Office Supplies,4/22/12,Consumer,1,60.933,
Technology,4/22/12,Consumer,1,77.23512,
Office Supplies,4/24/12,Home Office,1,22.6113,
Furniture,4/25/12,Consumer,1,112.69104,
Office Supplies,4/25/12,Consumer,1,704.57172,
Office Supplies,4/25/12,Corporate,1,32.81412,
Furniture,4/26/12,Consumer,1,"1,513.62",
Furniture,4/26/12,Corporate,1,66.49344,
Office Supplies,4/26/12,Consumer,1,77.67024,
Office Supplies,4/26/12,Corporate,1,112.06944,
Technology,4/26/12,Corporate,1,290.13768,
Furniture,4/27/12,Consumer,1,"1,381.61",
Office Supplies,4/27/12,Consumer,1,24.3318,
Office Supplies,4/27/12,Home Office,1,44.954,
Technology,4/27/12,Consumer,1,"1,490.31",
Office Supplies,4/28/12,Consumer,1,41.5338,
Office Supplies,4/28/12,Home Office,1,"3,999.70",
Office Supplies,4/29/12,Home Office,1,7.72896,
Furniture,4/30/12,Corporate,1,71.698,
Furniture,4/30/12,Home Office,1,213.115,
Office Supplies,4/30/12,Corporate,1,40.3074,
Technology,4/30/12,Consumer,1,900.2136,
Technology,4/30/12,Corporate,1,204.077,
Furniture,5/1/12,Corporate,1,63.552,
Office Supplies,5/1/12,Consumer,1,71.8726,
Office Supplies,5/1/12,Corporate,1,226.9248,
Technology,5/1/12,Corporate,1,94.96464,
Office Supplies,5/2/12,Corporate,1,8.50176,
Technology,5/2/12,Corporate,1,140.95464,
Furniture,5/3/12,Consumer,1,835.67484,
Furniture,5/3/12,Home Office,1,592.6332,
Office Supplies,5/3/12,Consumer,1,313.55208,
Office Supplies,5/3/12,Home Office,1,13.57104,
Technology,5/3/12,Consumer,1,360.16176,
Furniture,5/4/12,Corporate,1,47.12448,
Office Supplies,5/4/12,Corporate,1,128.4486,
Technology,5/4/12,Corporate,1,993.6612,
Furniture,5/7/12,Consumer,1,263.52648,
Office Supplies,5/7/12,Consumer,1,54.83824,
Furniture,5/8/12,Consumer,1,301.35924,
Furniture,5/8/12,Corporate,1,7.34976,
Office Supplies,5/8/12,Consumer,1,464.99182,
Office Supplies,5/8/12,Home Office,1,41.3546,
Technology,5/8/12,Consumer,1,"2,828.34",
Office Supplies,5/9/12,Consumer,1,45.8814,
Office Supplies,5/10/12,Home Office,1,106.67646,
Technology,5/10/12,Consumer,1,46.22112,
Furniture,5/11/12,Home Office,1,197.72704,
Furniture,5/12/12,Consumer,1,22.62704,
Office Supplies,5/12/12,Consumer,1,213.29308,
Technology,5/12/12,Consumer,1,828.94336,
Office Supplies,5/13/12,Home Office,1,16,
Technology,5/13/12,Home Office,1,229.05552,
Furniture,5/14/12,Corporate,1,"1,234.87",
Office Supplies,5/14/12,Consumer,1,"1,162.64",
Office Supplies,5/14/12,Home Office,1,502.03296,
Office Supplies,5/15/12,Corporate,1,72.70432,
Technology,5/16/12,Home Office,1,266.20672,
Office Supplies,5/17/12,Consumer,1,88.842,
Office Supplies,5/17/12,Corporate,1,51.15744,
Office Supplies,5/18/12,Corporate,1,10.317,
Furniture,5/20/12,Consumer,1,154.9792,
Office Supplies,5/20/12,Consumer,1,5.57496,
Office Supplies,5/21/12,Consumer,1,20.768,
Office Supplies,5/21/12,Corporate,1,53.11092,
Office Supplies,5/22/12,Consumer,1,104.006,
Technology,5/22/12,Consumer,1,"3,336.65",
Furniture,5/23/12,Home Office,1,69.3036,
Office Supplies,5/23/12,Consumer,1,149.44516,
Office Supplies,5/23/12,Corporate,1,230.9958,
Office Supplies,5/23/12,Home Office,1,756.945,
Furniture,5/24/12,Consumer,1,518.27986,
Office Supplies,5/24/12,Consumer,1,8.26848,
Furniture,5/25/12,Home Office,1,12.9624,
Office Supplies,5/25/12,Consumer,1,718.8688,
Office Supplies,5/25/12,Corporate,1,59.66224,
Office Supplies,5/25/12,Home Office,1,128.312,
Technology,5/25/12,Corporate,1,600.77136,
Furniture,5/26/12,Consumer,1,207.7704,
Office Supplies,5/26/12,Home Office,1,160.27488,
Technology,5/26/12,Consumer,1,379.563,
Technology,5/26/12,Home Office,1,166.26456,
Office Supplies,5/28/12,Consumer,1,659.95814,
Office Supplies,5/28/12,Home Office,1,6.0996,
Technology,5/28/12,Consumer,1,41.8509,
Furniture,5/29/12,Corporate,1,394.4886,
Office Supplies,5/29/12,Consumer,1,662.7456,
Office Supplies,5/29/12,Corporate,1,8.2008,
Office Supplies,5/29/12,Home Office,1,76.5504,
Office Supplies,5/30/12,Consumer,1,142.6848,
Technology,5/30/12,Consumer,1,387.261,
Technology,5/30/12,Home Office,1,165.6364,
Furniture,5/31/12,Consumer,1,"4,213.18",
Furniture,5/31/12,Corporate,1,61.0368,
Furniture,5/31/12,Home Office,1,23.754,
Office Supplies,5/31/12,Consumer,1,300.24492,
Office Supplies,5/31/12,Corporate,1,688.2444,
Office Supplies,5/31/12,Home Office,1,7.182,
Office Supplies,6/1/12,Consumer,1,467.1972,
Office Supplies,6/1/12,Corporate,1,50.84608,
Office Supplies,6/1/12,Home Office,1,10.1136,
Technology,6/1/12,Consumer,1,294.0168,
Furniture,6/4/12,Home Office,1,33.8688,
Office Supplies,6/4/12,Consumer,1,16.1408,
Office Supplies,6/4/12,Home Office,1,28.3092,
Technology,6/4/12,Consumer,1,"1,087.75",
Furniture,6/5/12,Corporate,1,"1,294.24",
Office Supplies,6/5/12,Corporate,1,9.3984,
Office Supplies,6/7/12,Corporate,1,6.6928,
Office Supplies,6/7/12,Home Office,1,49.6356,
Furniture,6/8/12,Corporate,1,181.8684,
Office Supplies,6/8/12,Consumer,1,123.09008,
Office Supplies,6/8/12,Corporate,1,840.84,
Technology,6/8/12,Consumer,1,2.06712,
Furniture,6/9/12,Consumer,1,326.9312,
Office Supplies,6/9/12,Consumer,1,114.5232,
Office Supplies,6/9/12,Home Office,1,99.528,
Technology,6/9/12,Consumer,1,181.0296,
Furniture,6/11/12,Consumer,1,31.7844,
Furniture,6/11/12,Corporate,1,"1,160.87",
Office Supplies,6/11/12,Consumer,1,137.456,
Office Supplies,6/11/12,Corporate,1,"1,708.70",
Technology,6/11/12,Consumer,1,55.311,
Technology,6/11/12,Corporate,1,227.12144,
Furniture,6/12/12,Consumer,1,43.296,
Office Supplies,6/12/12,Consumer,1,46.58512,
Office Supplies,6/12/12,Home Office,1,26.5248,
Technology,6/12/12,Consumer,1,48.70608,
Office Supplies,6/13/12,Consumer,1,39.18768,
Office Supplies,6/13/12,Corporate,1,72.864,
Office Supplies,6/13/12,Home Office,1,38.61732,
Technology,6/13/12,Corporate,1,809.973,
Technology,6/13/12,Home Office,1,62.5416,
Furniture,6/14/12,Home Office,1,50.05056,
Furniture,6/15/12,Consumer,1,425.208,
Office Supplies,6/15/12,Consumer,1,79.06496,
Technology,6/15/12,Consumer,1,11.55528,
Technology,6/15/12,Corporate,1,221.06448,
Furniture,6/16/12,Consumer,1,201.31944,
Office Supplies,6/16/12,Consumer,1,"3,361.56",
Technology,6/16/12,Consumer,1,124.6014,
Furniture,6/18/12,Consumer,1,60.2316,
Furniture,6/18/12,Corporate,1,655.99872,
Furniture,6/18/12,Home Office,1,67.824,
Office Supplies,6/18/12,Consumer,1,615.2112,
Office Supplies,6/18/12,Corporate,1,38.47215,
Office Supplies,6/18/12,Home Office,1,23.33604,
Technology,6/18/12,Consumer,1,505.4076,
Furniture,6/19/12,Consumer,1,10.8016,
Office Supplies,6/19/12,Consumer,1,210.5553,
Office Supplies,6/19/12,Home Office,1,218.96056,
Furniture,6/20/12,Corporate,1,226.7232,
Technology,6/20/12,Consumer,1,118.38736,
Technology,6/20/12,Corporate,1,128.49552,
Technology,6/20/12,Home Office,1,281.58592,
Technology,6/21/12,Consumer,1,92.85936,
Furniture,6/22/12,Home Office,1,764.568,
Office Supplies,6/22/12,Consumer,1,"1,173.63",
Furniture,6/23/12,Corporate,1,27.42,
Office Supplies,6/23/12,Consumer,1,4.6698,
Office Supplies,6/23/12,Corporate,1,147.7222,
Technology,6/23/12,Consumer,1,568.75928,
Technology,6/23/12,Corporate,1,64.5,
Furniture,6/25/12,Consumer,1,241.00124,
Office Supplies,6/25/12,Consumer,1,453.46142,
Office Supplies,6/25/12,Home Office,1,114.828,
Furniture,6/26/12,Consumer,1,366.234,
Office Supplies,6/26/12,Consumer,1,182.178,
Office Supplies,6/26/12,Home Office,1,45.63936,
Technology,6/26/12,Consumer,1,933.0048,
Technology,6/26/12,Corporate,1,36.453,
Furniture,6/28/12,Corporate,1,950.042,
Office Supplies,6/28/12,Corporate,1,19.73952,
Office Supplies,6/28/12,Home Office,1,244.6914,
Furniture,6/29/12,Consumer,1,124.1874,
Office Supplies,6/29/12,Consumer,1,25.9584,
Technology,6/29/12,Home Office,1,242.982,
Furniture,7/2/12,Consumer,1,869.5918,
Furniture,7/2/12,Corporate,1,142.2576,
Office Supplies,7/2/12,Consumer,1,604.338,
Office Supplies,7/2/12,Corporate,1,12.8982,
Office Supplies,7/2/12,Home Office,1,17.1072,
Technology,7/2/12,Corporate,1,77.2096,
Furniture,7/3/12,Consumer,1,63.1722,
Furniture,7/3/12,Corporate,1,428.7844,
Office Supplies,7/3/12,Consumer,1,321.4737,
Office Supplies,7/3/12,Corporate,1,6.1824,
Office Supplies,7/4/12,Home Office,1,39.09456,
Technology,7/4/12,Consumer,1,"1,110.96",
Furniture,7/5/12,Corporate,1,9.3632,
Office Supplies,7/5/12,Consumer,1,33.1296,
Office Supplies,7/5/12,Corporate,1,20.9154,
Office Supplies,7/5/12,Home Office,1,18.43,
Technology,7/5/12,Consumer,1,30.276,
Furniture,7/6/12,Consumer,1,175.46256,
Furniture,7/6/12,Corporate,1,152.802,
Furniture,7/6/12,Home Office,1,329.1364,
Office Supplies,7/6/12,Corporate,1,533.1099,
Technology,7/6/12,Corporate,1,113.7045,
Office Supplies,7/8/12,Consumer,1,19.008,
Furniture,7/9/12,Consumer,1,187.4188,
Office Supplies,7/9/12,Consumer,1,418.2425,
Office Supplies,7/9/12,Corporate,1,183.49656,
Technology,7/9/12,Consumer,1,771.6996,
Office Supplies,7/10/12,Consumer,1,38.52454,
Furniture,7/11/12,Consumer,1,643.49936,
Furniture,7/11/12,Corporate,1,215.82288,
Office Supplies,7/11/12,Consumer,1,139.51856,
Office Supplies,7/11/12,Corporate,1,243.166,
Technology,7/11/12,Corporate,1,687.36,
Furniture,7/12/12,Consumer,1,422.67636,
Office Supplies,7/12/12,Consumer,1,8.0444,
Technology,7/12/12,Consumer,1,"1,503.65",
Furniture,7/13/12,Consumer,1,"2,027.59",
Office Supplies,7/13/12,Consumer,1,20.89728,
Office Supplies,7/13/12,Corporate,1,33.4368,
Office Supplies,7/13/12,Home Office,1,41.15232,
Furniture,7/14/12,Consumer,1,552.59348,
Office Supplies,7/14/12,Consumer,1,285.40736,
Furniture,7/16/12,Corporate,1,"2,089.83",
Furniture,7/16/12,Home Office,1,150.98,
Office Supplies,7/16/12,Corporate,1,88.968,
Office Supplies,7/16/12,Home Office,1,147.2823,
Technology,7/16/12,Corporate,1,509.915,
Furniture,7/17/12,Consumer,1,199.37532,
Furniture,7/17/12,Corporate,1,231.92,
Office Supplies,7/17/12,Corporate,1,21.93776,
Furniture,7/18/12,Consumer,1,6.9372,
Office Supplies,7/18/12,Consumer,1,3.59424,
Office Supplies,7/18/12,Corporate,1,6.048,
Technology,7/18/12,Consumer,1,570.6765,
Office Supplies,7/19/12,Consumer,1,2.12625,
Furniture,7/20/12,Consumer,1,"1,129.59",
Office Supplies,7/20/12,Consumer,1,389.5095,
Technology,7/20/12,Consumer,1,"1,073.41",
Furniture,7/23/12,Home Office,1,114.6498,
Office Supplies,7/23/12,Consumer,1,11.24784,
Office Supplies,7/23/12,Home Office,1,63.4248,
Furniture,7/24/12,Home Office,1,18.846,
Office Supplies,7/24/12,Home Office,1,231.9045,
Technology,7/24/12,Home Office,1,305.0474,
Furniture,7/25/12,Consumer,1,"1,355.12",
Furniture,7/25/12,Corporate,1,369.3374,
Office Supplies,7/25/12,Consumer,1,19.4706,
Office Supplies,7/25/12,Corporate,1,106.3368,
Office Supplies,7/25/12,Home Office,1,26.4348,
Technology,7/25/12,Consumer,1,648.9184,
Furniture,7/26/12,Consumer,1,353.8485,
Furniture,7/26/12,Corporate,1,290.32368,
Office Supplies,7/26/12,Consumer,1,165.75204,
Office Supplies,7/26/12,Corporate,1,122.2764,
Technology,7/27/12,Consumer,1,29.97,
Furniture,7/30/12,Consumer,1,5.4384,
Furniture,7/30/12,Home Office,1,163.674,
Office Supplies,7/30/12,Consumer,1,10.8108,
Office Supplies,7/30/12,Corporate,1,53.14112,
Technology,7/30/12,Consumer,1,178.4405,
Furniture,7/31/12,Consumer,1,"1,090.78",
Office Supplies,7/31/12,Consumer,1,18.2736,
Office Supplies,7/31/12,Corporate,1,57.3231,
Technology,7/31/12,Consumer,1,"2,171.07",
Technology,7/31/12,Corporate,1,222.921,
Furniture,8/1/12,Home Office,1,"1,035.13",
Office Supplies,8/1/12,Home Office,1,6.72,
Furniture,8/2/12,Consumer,1,283.05,
Furniture,8/2/12,Home Office,1,95.4428,
Office Supplies,8/2/12,Consumer,1,5.85856,
Office Supplies,8/2/12,Home Office,1,8.484,
Technology,8/2/12,Consumer,1,547.232,
Technology,8/2/12,Home Office,1,322.2534,
Furniture,8/5/12,Corporate,1,12.546,
Office Supplies,8/5/12,Corporate,1,58.4689,
Furniture,8/6/12,Corporate,1,372.891192,
Office Supplies,8/6/12,Corporate,1,131.9535,
Furniture,8/7/12,Consumer,1,227.8458,
Office Supplies,8/7/12,Consumer,1,121.68,
Office Supplies,8/7/12,Corporate,1,92.17128,
Office Supplies,8/7/12,Home Office,1,20.30112,
Technology,8/7/12,Corporate,1,455.3724,
Furniture,8/8/12,Consumer,1,133.20128,
Office Supplies,8/8/12,Consumer,1,590.71488,
Technology,8/8/12,Consumer,1,84.7894,
Furniture,8/9/12,Consumer,1,374.96516,
Furniture,8/9/12,Corporate,1,626.1453,
Furniture,8/9/12,Home Office,1,632.408,
Office Supplies,8/9/12,Consumer,1,"1,215.94",
Office Supplies,8/9/12,Corporate,1,186.74064,
Technology,8/9/12,Consumer,1,"1,336.09",
Office Supplies,8/10/12,Consumer,1,186.32868,
Office Supplies,8/10/12,Home Office,1,79.4364,
Technology,8/10/12,Consumer,1,497.34832,
Furniture,8/11/12,Consumer,1,45.22896,
Office Supplies,8/11/12,Home Office,1,11.0032,
Technology,8/11/12,Home Office,1,149.04,
Furniture,8/13/12,Consumer,1,28.7196,
Office Supplies,8/13/12,Consumer,1,395.8704,
Office Supplies,8/13/12,Corporate,1,115.48,
Furniture,8/15/12,Consumer,1,114.653,
Office Supplies,8/15/12,Consumer,1,67.4496,
Office Supplies,8/15/12,Corporate,1,306.945,
Furniture,8/16/12,Consumer,1,289.4112,
Furniture,8/16/12,Corporate,1,251.80848,
Office Supplies,8/16/12,Consumer,1,321.24928,
Office Supplies,8/16/12,Corporate,1,27.126,
Technology,8/16/12,Consumer,1,"1,955.16",
Technology,8/16/12,Corporate,1,512.40024,
Office Supplies,8/17/12,Consumer,1,46.56,
Office Supplies,8/17/12,Corporate,1,47.502,
Technology,8/17/12,Consumer,1,285.7088,
Furniture,8/21/12,Corporate,1,"1,319.82",
Furniture,8/21/12,Home Office,1,522.24768,
Office Supplies,8/21/12,Corporate,1,130.90832,
Office Supplies,8/21/12,Home Office,1,940.01024,
Technology,8/21/12,Home Office,1,22.16256,
Office Supplies,8/22/12,Corporate,1,44.59968,
Office Supplies,8/22/12,Home Office,1,16.1896,
Office Supplies,8/23/12,Consumer,1,"1,016.89",
Technology,8/23/12,Consumer,1,254.4291,
Furniture,8/24/12,Consumer,1,905.68415,
Furniture,8/24/12,Corporate,1,287.20764,
Office Supplies,8/24/12,Consumer,1,"1,892.95",
Technology,8/24/12,Consumer,1,"3,510.67",
Technology,8/24/12,Corporate,1,24.44,
Furniture,8/25/12,Consumer,1,28.26384,
Furniture,8/25/12,Home Office,1,38.33696,
Office Supplies,8/25/12,Consumer,1,4.06386,
Office Supplies,8/25/12,Home Office,1,113.3772,
Office Supplies,8/27/12,Consumer,1,577.7317,
Office Supplies,8/27/12,Home Office,1,5.41024,
Furniture,8/28/12,Consumer,1,302.47122,
Furniture,8/28/12,Corporate,1,87.95885,
Office Supplies,8/28/12,Consumer,1,"1,629.28",
Office Supplies,8/28/12,Corporate,1,484.4708,
Technology,8/28/12,Consumer,1,38.8584,
Technology,8/28/12,Corporate,1,"3,938.92",
Technology,8/29/12,Home Office,1,266.22,
Furniture,8/31/12,Corporate,1,"1,537.30",
Office Supplies,8/31/12,Consumer,1,61.8192,
Office Supplies,8/31/12,Corporate,1,126.2608,
Office Supplies,8/31/12,Home Office,1,23.056,
Technology,8/31/12,Corporate,1,293.07516,
Technology,8/31/12,Home Office,1,555.96,
Furniture,9/1/12,Home Office,1,168.441,
Office Supplies,9/1/12,Consumer,1,17.5904,
Office Supplies,9/1/12,Home Office,1,"1,323.70",
Technology,9/1/12,Consumer,1,835.18608,
Furniture,9/3/12,Corporate,1,209.57376,
Furniture,9/3/12,Home Office,1,130.86368,
Office Supplies,9/3/12,Consumer,1,793.09984,
Office Supplies,9/3/12,Corporate,1,539.4114,
Office Supplies,9/3/12,Home Office,1,5.66752,
Technology,9/3/12,Corporate,1,247.84,
Office Supplies,9/4/12,Consumer,1,305.5308,
Office Supplies,9/4/12,Corporate,1,18.2889,
Technology,9/4/12,Consumer,1,607.551,
Technology,9/4/12,Corporate,1,116.90712,
Furniture,9/5/12,Consumer,1,746.80286,
Furniture,9/5/12,Corporate,1,6.468,
Furniture,9/5/12,Home Office,1,65.2416,
Office Supplies,9/5/12,Consumer,1,27.3144,
Office Supplies,9/5/12,Corporate,1,32.4192,
Office Supplies,9/5/12,Home Office,1,94.353,
Furniture,9/6/12,Consumer,1,80.8212,
Furniture,9/6/12,Home Office,1,458.94816,
Office Supplies,9/6/12,Corporate,1,57.8925,
Office Supplies,9/6/12,Home Office,1,9.54,
Technology,9/6/12,Corporate,1,395.829,
Furniture,9/7/12,Consumer,1,74.1807,
Furniture,9/7/12,Corporate,1,500.42304,
Office Supplies,9/7/12,Consumer,1,651.5955,
Office Supplies,9/7/12,Corporate,1,243.55254,
Technology,9/7/12,Corporate,1,873.14436,
Technology,9/7/12,Home Office,1,554.3307,
Furniture,9/8/12,Corporate,1,18.7968,
Office Supplies,9/8/12,Consumer,1,64.866,
Furniture,9/10/12,Corporate,1,583.6734,
Office Supplies,9/10/12,Consumer,1,370.9854,
Office Supplies,9/10/12,Corporate,1,296.4786,
Furniture,9/11/12,Corporate,1,230.6136,
Furniture,9/11/12,Home Office,1,9.7228,
Office Supplies,9/11/12,Consumer,1,208.989,
Office Supplies,9/11/12,Corporate,1,"1,217.90",
Office Supplies,9/11/12,Home Office,1,359.3244,
Technology,9/11/12,Corporate,1,17.7911,
Office Supplies,9/12/12,Consumer,1,214.0944,
Technology,9/12/12,Consumer,1,451.7676,
Furniture,9/13/12,Consumer,1,"1,834.36",
Furniture,9/13/12,Corporate,1,"1,134.67",
Office Supplies,9/13/12,Consumer,1,81.13446,
Office Supplies,9/13/12,Corporate,1,213.60612,
Technology,9/13/12,Consumer,1,191.9616,
Furniture,9/14/12,Consumer,1,794.0925,
Furniture,9/14/12,Corporate,1,183.74688,
Office Supplies,9/14/12,Consumer,1,"1,260.91",
Office Supplies,9/14/12,Home Office,1,23.051,
Technology,9/14/12,Consumer,1,897.58368,
Furniture,9/15/12,Consumer,1,"1,617.17",
Furniture,9/15/12,Corporate,1,119.24464,
Office Supplies,9/15/12,Consumer,1,200.1174,
Office Supplies,9/15/12,Corporate,1,295.16864,
Technology,9/15/12,Consumer,1,53.3733,
Office Supplies,9/16/12,Consumer,1,29.8752,
Furniture,9/17/12,Consumer,1,"9,254.42",
Furniture,9/17/12,Corporate,1,23.91024,
Furniture,9/17/12,Home Office,1,371.7576,
Office Supplies,9/17/12,Consumer,1,429.974,
Office Supplies,9/17/12,Corporate,1,30.6714,
Office Supplies,9/17/12,Home Office,1,27.864,
Technology,9/17/12,Consumer,1,994.09286,
Furniture,9/18/12,Corporate,1,22.448,
Office Supplies,9/18/12,Consumer,1,549.7182,
Office Supplies,9/18/12,Corporate,1,718.4064,
Office Supplies,9/18/12,Home Office,1,16.686,
Technology,9/18/12,Corporate,1,"2,551.35",
Furniture,9/19/12,Home Office,1,117.888,
Office Supplies,9/19/12,Corporate,1,21.1232,
Office Supplies,9/19/12,Home Office,1,7.308,
Technology,9/19/12,Consumer,1,274.2628,
Technology,9/19/12,Corporate,1,67.0236,
Office Supplies,9/20/12,Consumer,1,"1,610.19",
Office Supplies,9/20/12,Corporate,1,87.56496,
Furniture,9/21/12,Consumer,1,"1,622.44",
Furniture,9/21/12,Corporate,1,185.30064,
Furniture,9/21/12,Home Office,1,"1,143.69",
Office Supplies,9/21/12,Consumer,1,"1,328.08",
Office Supplies,9/21/12,Corporate,1,24.4306,
Office Supplies,9/21/12,Home Office,1,7.9,
Technology,9/21/12,Consumer,1,810.6112,
Technology,9/21/12,Corporate,1,"1,196.32",
Technology,9/21/12,Home Office,1,507.314,
Furniture,9/22/12,Consumer,1,223.014,
Furniture,9/22/12,Home Office,1,52.778,
Office Supplies,9/22/12,Consumer,1,57.268,
Office Supplies,9/22/12,Corporate,1,67.584,
Office Supplies,9/22/12,Home Office,1,748.15352,
Technology,9/22/12,Consumer,1,611.79624,
Furniture,9/24/12,Consumer,1,450.225,
Furniture,9/24/12,Corporate,1,12.9717,
Furniture,9/24/12,Home Office,1,"1,225.05",
Office Supplies,9/24/12,Consumer,1,213.02752,
